startYear,Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Total (m^3),Days,Seconds,Mean flow (m^3/s),Height (m)
1992,1993,,1.45,1.4,1.45,23.9,644,329,160,4.35,1.4,1.45,1.4,1169.8,365,31536000,37.09411466,0.381
1993,1994,1.45,1.45,1.4,1.45,57.1,255,223,168,2.69,1.4,1.45,1.4,715.79,365,31536000,22.697552,0.306
1994,1995,1.45,1.45,1.4,1.45,1.4,7.2,44.4,495,192,125,1.45,1.4,873.6,365,31536000,27.70167428,0.335
1995,1996,1.45,1.45,1.4,1.45,210,300,1056,1529,709,121,73.3,32.2,4036.25,366,31622400,127.6389521,0.685
1996,1997,17.7,7.99,1.43,1.45,1.4,39.6,196,162,327,353,76.8,198,1382.37,365,31536000,43.83466514,0.410
1997,1998,56.9,19.9,12.7,7.47,1.41,1.77,93.7,155,3.49,1.4,1.45,1.4,356.59,365,31536000,11.30739472,0.198
1998,1999,1.45,1.45,1.4,1.45,1.4,159,379,132,5.6,1.4,1.66,1.4,687.21,365,31536000,21.79128615,0.302
1999,2000,1.45,1.45,1.4,1.45,114,38.8,,,,,,,,,,,
2000,2001,,,,,,73.6,32.9,150,415,78.7,51.6,18.8,,,,,
2001,2002,10.8,2.28,1.4,1.45,68.8,484,71,28.1,2.98,1.75,1.57,1.39,675.52,365,31536000,21.42059868,0.299
2002,2003,1.37,1.32,1.24,1.21,1.15,2.2,22.8,74.7,128,7.12,0.035,6.85,247.995,365,31536000,7.863869863,0.154
2003,2004,0,2.86,2.25,31.7,6.85,47.4,59.8,134,826,348,79,22.3,1560.16,366,31622400,49.33717871,0.433
2004,2005,4.53,0,0,0,5.34,142,132,32.7,14.8,4.11,1.88,0.495,337.855,365,31536000,10.71331177,0.190
2005,2006,0,4.38,0.003,1.87,0.512,313,1101,446,815,188,52.2,17,2938.965,365,31536000,93.1939688,0.587
2006,2007,3.2,1.51,0.565,0,20.3,22.4,107,0.087,87.5,63,0,0.597,306.159,365,31536000,9.708238204,0.177
2007,2008,0,0.737,11.2,14.1,10.2,242,740,488,170,146,48.5,28.3,1899.037,366,31622400,60.053538,0.479
2008,2009,13.3,2.55,0,0,0.202,19.6,490,825,348,123,26.6,28.1,1876.352,365,31536000,59.49873161,0.472
2009,2010,12.1,2.1,0,4.18,0.944,48.4,97.7,153,78.5,530,376,128,1430.924,365,31536000,45.37430238,0.418
2010,2011,56.4,27.8,5.03,3.39,36,163,1343,426,116,247,147,60.2,2630.82,365,31536000,83.42275495,0.556
2011,2012,29.4,16.9,3.65,0.054,0.675,69.3,270,162,15.3,6.29,2.2,3.69,579.459,366,31622400,18.32432073,0.277
2012,2013,3.7,0.361,2.44,44.7,6.57,82.6,1533,228,70.1,60.6,36.6,11.8,2080.471,365,31536000,65.97130264,0.498
2013,2014,14.7,5.08,0.566,0.045,24.7,45.1,124,844,1643,323,61.6,28.4,3114.191,365,31536000,98.75034881,0.623
2014,2015,16.3,9.45,5.9,6.01,5.91,138,113,23.9,24.6,4.11,2.28,1.82,351.28,365,31536000,11.13901573,0.200
2015,2016,1.65,1.44,1.29,1.08,3.64,4.47,35.8,1.97,181,6.79,1.7,1.47,242.3,366,31622400,7.662290022,0.165
2016,2017,2.09,2.03,1.98,1.17,2.25,112,593,1663,876,32.4,10.3,1.34,3297.56,365,31536000,104.5649417,0.641
2017,2018,0.336,0.323,0.484,2.36,15.9,1.41,0.398,177,90.8,31.7,4.29,0.474,325.475,365,31536000,10.32074455,0.192
2018,2019,0.231,0.118,0.812,0.827,0.767,24,5.13,130,6.23,2.48,1.82,1.12,173.535,365,31536000,5.502758752,0.139
2019,2020,0.235,0.273,0.843,0.736,0.754,77.6,61,181,6.56,4.82,5.09,3.85,342.761,366,31622400,10.83918362,0.197
2020,2021,3.7,4.41,6.26,6.9,7.38,696,718,1469,214,15.1,1.1,0,3141.85,365,31536000,99.62740994,0.625
2021,2022,0,0,0,0,1.5,68.3,389,259,48.9,152,88.2,35.7,1042.6,365,31536000,33.06062912,0.352
2022,2023,23.9,14,5.93,3.3,102,149,115,687,,,,,,,,,
,,,,,,,,,,,,,,,,,,